A	B	DRB1	freq
1	39	1424	0
1	39	1501	0.000094
1	39	1502	0.000005
1	39	1503	0
1	39	1601	0.000139
1	39	1602	0.000004
1	41	0101	0.000009
1	41	0102	0.000002
1	41	0103	0.000003
1	41	0104	0
1	41	0301	0.000075
1	41	0302	0
1	41	0303	0
1	41	0401	0.000008
1	41	0402	0.00001
1	41	0403	0.000004
1	41	0404	0.000012
1	41	0405	0.000031
1	41	0408	0
1	41	0419	0
1	41	0701	0.000263
1	41	0801	0.000002
1	41	0802	0
1	41	0803	0.000001
1	41	0804	0.000007
1	41	0806	0
1	41	0809	0
1	41	0901	0.000004
1	41	1001	0.000055
1	41	1101	0.000024
1	41	1102	0.000015
1	41	1103	0
1	41	1104	0.000032
1	41	1110	0
1	41	1111	0
1	41	1114	0
1	41	1127	0
1	41	1201	0.000001
1	41	1202	0
1	41	1203	0.000001
1	41	1301	0.000016
1	41	1302	0.000045
1	41	1303	0.000131
1	41	1304	0.000002
1	41	1305	0.000014
1	41	1324	0
1	41	1401	0.00001
1	41	1404	0.000001
1	41	1501	0.000014
1	41	1502	0.000004
1	41	1601	0.000004
1	41	1602	0.000001
1	41	1603	0
1	41	1605	0
1	41	1607	0
1	42	0101	0.000001
1	42	0102	0.000001
1	42	0103	0
1	42	0301	0.000009
1	42	0302	0.000004
1	42	0401	0
1	42	0404	0
1	42	0405	0.000004
1	42	0408	0.000001
1	42	0411	0
1	42	0417	0
1	42	0419	0
1	42	0701	0.000001
1	42	0804	0.000001
1	42	0806	0
1	42	0901	0
1	42	1001	0
1	42	1101	0.000001
1	42	1102	0.000001
1	42	1104	0.000002
1	42	1201	0
1	42	1301	0
1	42	1302	0
1	42	1303	0.000001
1	42	1304	0
1	42	1310	0
1	42	1329	0
1	42	1401	0
1	42	1407	0
1	42	1501	0.000006
1	42	1502	0
1	42	1503	0
1	44	0101	0.000475
1	44	0102	0.00002
1	44	0103	0.000033
1	44	0301	0.000109
1	44	0302	0
1	44	0304	0.000001
1	44	0307	0
1	44	0401	0.001035
1	44	0402	0.000188
1	44	0403	0.00002
1	44	0404	0.000119
1	44	0405	0.000006
1	44	0407	0.00004
1	44	0408	0.000026
1	44	0410	0
1	44	0411	0
1	44	0414	0
1	44	0426	0.000001
1	44	0701	0.00186
1	44	0801	0.000061
1	44	0802	0.000006
1	44	0803	0.000072
1	44	0804	0
1	44	0901	0.000043
1	44	1001	0.000023
1	44	1101	0.000566
1	44	1102	0
1	44	1103	0.000008
1	44	1104	0.00017
1	44	1108	0
1	44	1110	0
1	44	1111	0
1	44	1201	0.000243
1	44	1202	0.000001
1	44	1301	0.000547
1	44	1302	0.000119
1	44	1303	0.00001
1	44	1304	0
1	44	1305	0.000004
1	44	1306	0.000003
1	44	1307	0.000001
1	44	1308	0.000001
1	44	1310	0.000005
1	44	1314	0
1	44	1322	0.000002
1	44	1324	0.000001
1	44	1331	0
1	44	1401	0.000045
1	44	1402	0
1	44	1404	0
1	44	1406	0.000002
1	44	1411	0
1	44	1421	0.000004
1	44	1501	0.000512
1	44	1502	0.000025
1	44	1503	0.000001
1	44	1506	0
1	44	1601	0.000118
1	44	1602	0.000002
1	45	0101	0.000007
1	45	0102	0.000001
1	45	0301	0.000006
1	45	0302	0.000001
1	45	0401	0.00004
1	45	0403	0
1	45	0404	0.000005
1	45	0405	0.000002
1	45	0406	0.000001
1	45	0408	0
1	45	0413	0
1	45	0414	0.000001
1	45	0416	0
1	45	0419	0
1	45	0701	0.000075
1	45	0801	0.000005
1	45	0802	0
1	45	0803	0.000011
1	45	0804	0.000002
1	45	0809	0
1	45	0901	0.000005
1	45	1001	0.000006
1	45	1101	0.000012
1	45	1102	0.000016
1	45	1103	0.000001
1	45	1104	0.000003
1	45	1110	0
1	45	1113	0
1	45	1201	0.000004
1	45	1301	0.000001
1	45	1302	0.000025
1	45	1303	0.000001
1	45	1304	0
1	45	1310	0.000001
1	45	1401	0.000002
1	45	1402	0
1	45	1406	0
1	45	1501	0.000012
1	45	1503	0
1	45	1602	0
1	46	0301	0
1	46	0406	0
1	46	0701	0
1	46	0803	0
1	46	0901	0
1	46	1001	0.000001
1	46	1202	0.000001
1	46	1309	0
1	46	1401	0.000001
1	46	1403	0
1	46	1405	0
1	46	1407	0.000001
1	46	1501	0
1	46	1502	0
1	46	1602	0
1	47	0101	0.000004
1	47	0102	0.000005
1	47	0301	0.000003
1	47	0313	0
1	47	0401	0.000001
1	47	0403	0
1	47	0404	0
1	47	0405	0.000014
1	47	0406	0
1	47	0407	0.000002
1	47	0408	0
1	47	0419	0
1	47	0701	0.000028
1	47	0703	0
1	47	0801	0
1	47	0804	0.000005
1	47	0901	0.000003
1	47	1001	0.000007
1	47	1101	0.000005
1	47	1102	0.000001
1	47	1104	0.000005
1	47	1201	0.000001
1	47	1301	0.000019
1	47	1302	0.000048
1	47	1303	0.000001
1	47	1401	0.000003
1	47	1404	0
1	47	1406	0
1	47	1407	0
1	47	1417	0
1	47	1501	0.000008
1	47	1601	0.000002
1	48	0101	0
1	48	0301	0.000003
1	48	0401	0.000004
1	48	0402	0.000001
1	48	0403	0.000013
1	48	0404	0.000011
1	48	0405	0
1	48	0407	0
1	48	0410	0
1	48	0411	0
1	48	0701	0.000003
1	48	0703	0
1	48	0801	0.000001
1	48	0802	0
1	48	0803	0
1	48	0806	0
1	48	0901	0.000001
1	48	1001	0
1	48	1101	0.000003
1	48	1201	0
1	48	1202	0
1	48	1301	0.000001
1	48	1304	0
1	48	1312	0
1	48	1402	0
1	48	1404	0.000001
1	48	1501	0.000002
1	48	1602	0
1	49	0101	0.000079
1	49	0102	0.000009
1	49	0103	0.000001
1	49	0301	0.000056
1	49	0302	0
1	49	0306	0
1	49	0401	0.000025
1	49	0402	0.000003
1	49	0403	0.000023
1	49	0404	0.000016
1	49	0405	0.000108
1	49	0406	0
1	49	0407	0
1	49	0408	0.000006
1	49	0411	0.000001
1	49	0414	0
1	49	0415	0
1	49	0701	0.000184
1	49	0801	0.000006
1	49	0802	0
1	49	0803	0.000008
1	49	0804	0
1	49	0806	0
1	49	0807	0.000001
1	49	0811	0.000001
1	49	0901	0.000002
1	49	1001	0.000026
1	49	1101	0.000198
1	49	1102	0.00014
1	49	1103	0.000003
1	49	1104	0.000032
1	49	1107	0.000007
1	49	1110	0
1	49	1113	0
1	49	1114	0
1	49	1201	0.000002
1	49	1202	0.000004
1	49	1301	0.000038
1	49	1302	0.000245
1	49	1303	0.000017
1	49	1304	0
1	49	1305	0.000003
1	49	1307	0
1	49	1328	0
1	49	1401	0.000027
1	49	1402	0.000001
1	49	1404	0
1	49	1406	0
1	49	1409	0
1	49	1501	0.000123
1	49	1502	0.000005
1	49	1503	0.000003
1	49	1504	0
1	49	1601	0.000002
1	49	1602	0.000001
1	49	1608	0
1	50	0101	0.000018
1	50	0102	0.000008
1	50	0103	0.000001
1	50	0301	0.000055
1	50	0302	0
1	50	0401	0.000017
1	50	0402	0.000002
1	50	0403	0.000001
1	50	0404	0.000009
1	50	0405	0.000001
1	50	0406	0.000005
1	50	0407	0
1	50	0408	0.000002
1	50	0411	0.000001
1	50	0701	0.00043
1	50	0801	0
1	50	0802	0
1	50	0803	0
1	50	0804	0
1	50	0806	0
1	50	0901	0.000002
1	50	1001	0.000004
1	50	1101	0.000016
1	50	1102	0
1	50	1103	0
1	50	1104	0.000018
1	50	1110	0
1	50	1201	0.000002
1	50	1301	0.000005
1	50	1302	0.000021
1	50	1303	0.000012
1	50	1305	0.000001
1	50	1308	0
1	50	1310	0
1	50	1401	0
1	50	1402	0
1	50	1404	0
1	50	1501	0.000029
1	50	1502	0
1	50	1503	0
1	50	1601	0
1	50	1602	0.000001
1	50	1603	0
1	50	1605	0
1	50	1607	0
1	51	0101	0.000262
1	51	0102	0.000007
1	51	0103	0.000007
1	51	0301	0.000114
1	51	0302	0.000001
1	51	0401	0.000091
1	51	0402	0.000135
1	51	0403	0.000038
1	51	0404	0.000134
1	51	0405	0.000001
1	51	0406	0.000003
1	51	0407	0.00007
1	51	0408	0.000088
1	51	0410	0
1	51	0415	0.000001
1	51	0424	0
1	51	0432	0
1	51	0701	0.000126
1	51	0801	0.000076
1	51	0802	0.000006
1	51	0803	0.000057
1	51	0804	0
1	51	0810	0.000004
1	51	0901	0.000056
1	51	1001	0.000016
1	51	1101	0.000483
1	51	1102	0.000011
1	51	1103	0.000033
1	51	1104	0.000122
1	51	1111	0
1	51	1115	0
1	51	1128	0
1	51	1201	0.000037
1	51	1202	0.000003
1	51	1301	0.000278
1	51	1302	0.000092
1	51	1303	0.00003
1	51	1304	0
1	51	1305	0.000003
1	51	1307	0
1	51	1308	0
1	51	1311	0.000001
1	51	1315	0.000001
1	51	1322	0.000001
1	51	1401	0.000114
1	51	1402	0.000001
1	51	1403	0
1	51	1404	0.000004
1	51	1405	0
1	51	1406	0
1	51	1407	0
1	51	1412	0
1	51	1415	0
1	51	1501	0.000218
1	51	1502	0.000064
1	51	1601	0.000041
1	51	1602	0.000007
1	51	1605	0.000001
1	52	0101	0.000077
1	52	0102	0.000009
1	52	0103	0.000002
1	52	0301	0.000045
1	52	0302	0.000001
1	52	0401	0.000045
1	52	0402	0.000022
1	52	0403	0.000009
1	52	0404	0.000023
1	52	0405	0.000001
1	52	0406	0
1	52	0407	0.000013
1	52	0408	0.000008
1	52	0411	0
1	52	0414	0
1	52	0418	0
1	52	0701	0.000078
1	52	0801	0.00001
1	52	0802	0
1	52	0803	0.000001
1	52	0804	0.000001
1	52	0806	0
1	52	0901	0.000005
1	52	1001	0.00006
1	52	1101	0.00009
1	52	1102	0.000009
1	52	1103	0
1	52	1104	0.000049
1	52	1106	0
1	52	1109	0
1	52	1110	0.000001
1	52	1111	0
1	52	1201	0.000009
1	52	1202	0
1	52	1301	0.000033
1	52	1302	0.000048
1	52	1303	0.000092
1	52	1305	0.000004
1	52	1308	0
1	52	1401	0.000016
1	52	1402	0
1	52	1404	0.000005
1	52	1405	0
1	52	1406	0
1	52	1407	0.000003
1	52	1409	0
1	52	1410	0
1	52	1415	0
1	52	1417	0
1	52	1419	0
1	52	1423	0
1	52	1501	0.000062
1	52	1502	0.001835
1	52	1503	0.000001
1	52	1506	0
1	52	1601	0.00002
1	52	1602	0.000004
1	52	1608	0.000002
1	53	0101	0.000005
1	53	0102	0.000008
1	53	0103	0.000001
1	53	0104	0
1	53	0301	0.000007
1	53	0302	0.000006
1	53	0303	0
1	53	0307	0
1	53	0401	0.000004
1	53	0404	0.000003
1	53	0405	0.000003
1	53	0407	0
1	53	0411	0
1	53	0416	0
1	53	0417	0
1	53	0418	0
1	53	0701	0.000007
1	53	0801	0.000002
1	53	0802	0
1	53	0804	0.000001
1	53	0806	0
1	53	0901	0
1	53	1001	0.000004
1	53	1101	0.000013
1	53	1102	0.000001
1	53	1103	0
1	53	1104	0.000011
1	53	1109	0
1	53	1123	0
1	53	1125	0
1	53	1201	0
1	53	1202	0
1	53	1301	0
1	53	1302	0.000134
1	53	1303	0.000003
1	53	1304	0
1	53	1306	0
1	53	1310	0.000001
1	53	1401	0.000013
1	53	1402	0
1	53	1404	0.000001
1	53	1405	0
1	53	1406	0.000001
1	53	1408	0
1	53	1415	0
1	53	1501	0.000001
1	53	1502	0.00001
1	53	1503	0
1	53	1601	0.000004
1	53	1602	0.000001
1	54	0301	0.000002
1	54	0405	0
1	54	0407	0.000001
1	54	0701	0.000001
1	54	0803	0
1	54	0901	0
1	54	1001	0
1	54	1101	0.000001
1	54	1103	0.000001
1	54	1104	0.000001
1	54	1201	0
1	54	1303	0.000001
1	54	1401	0
1	54	1405	0
1	54	1407	0
1	54	1409	0
1	54	1417	0
1	54	1602	0
